labels	text
O O O B_definition_word	the definition of life
O O O O O O O B_place_name	how bad is the traffic near the airport
O O O O O O O O	play me some podcasts about getting rich quick
O O O O	please check exchange rates
O O O O O O O O	have no idea for which to choose .
O O O O O O O	i want to start a new list
O O O O O O O O B_transport_type O	go to www dot metronorth dot com for train tickets
O O O O O O O O O O O	i have no idea for what to do , olly .
B_time I_time O B_place_name O O O B_place_name I_place_name	eight am in manila is what in new york
O O O O O O B_news_topic I_news_topic	what 's the latest news about us election
O O O O O B_place_name	how do i get to brighton
O O O O O O O B_time I_time	check if any alarm is there after five am
O O O O	just stop please .
O O O B_person I_person	tell me about sean connery
O B_alarm_type I_alarm_type O O B_date I_date	remove wake up calls for this week
O O O O O O O	how many legs does a dog have
O O O O O O O	yeap excellent response to the command .
O O O O O O	start a pot of coffee please
O O O O B_color_type	switch the lights to blue
O O O O O O O O	please will you check and confirm it .
O O O O O B_list_name O	i need to make a grocery list
O O O O O	give me the headline news
O O O O O O O O	could you tell me once again please .
O O O O O B_weather_descriptor O B_timeofday	do i need to carry umbrella for evening
O O O O O O O B_house_place	please turn off the lights in the bedroom
O O B_time O B_time O B_place_name O O O O O B_place_name I_place_name	it 's eight at night in france what time is it in new york
O O B_media_type O O O O O O O O O O O O O O	post a tweet as follows very bad follow up by abc company not satisfied in my account
O O B_house_place I_house_place O B_color_type	make the living room light orange
O O O O O O O O O B_date	where am i supposed to be by this time tomorrow
O O O O O O B_person I_person I_person O O	how do you feel after hearing justin bieber 's new album
O O B_transport_agency O	request an uber now
O O O O O O O O O O	s2 , could not get what you have said .
O B_date O O O B_time I_time	checkout today set alarm of ten am
O O O	can you feel
O O O B_food_type I_food_type I_food_type I_food_type O O O O	hey order a side of hot wings with my previous order
O O O O O O O O O O O	can you pull up information on the singer of this song
O	softer
O O O O O O O B_currency_name	tell me the exchange rate for the yen
O B_player_setting O	select shuffle all
O B_radio_name I_radio_name I_radio_name	play hot ninety seven
O O O O O O	what events are happening near me
O O O O O B_date I_date I_date	what is the day on twenty third march
O O O B_currency_name I_currency_name O B_currency_name	how much is us dollar against rupee
O O O O O O O O	could you please check and confirm details .
O B_person I_person O B_place_name	find john smith from alabama
O O O O O O	what is the square of 4
O O O O O O O O O O O	i enjoy listening to this song it really calms me down
O O O B_game_name I_game_name I_game_name	let 's play tic tac toe
O O O O O B_news_topic I_news_topic I_news_topic	what 's the latest on the travel ban
O O O O O O O	open calendar and make an event reminder
O O O O O O O O O	that 's useful , thank you very much .
O O O	be my clock
O O O O O O O	would you just stop it please .
O O O O B_transport_agency O O	can you book an uber for me
U_media_type O O O O O O O O	tweet my complaint about my truck to consumer digest
O O O O O B_list_name O	what items are on my shopping list
O O O O B_place_name I_place_name O B_transport_type	schedule a journey to las vegas by train
O O O O O O B_business_name	what is the stock value of google
O O O	trending social media
O O B_media_type O B_business_name O O O O O O O O O	send a tweet to meijer tell them that they have the worst customer service
O O O O O B_relation	reach by mail to my family
O O O O B_change_amount I_change_amount	turn the lights down a bit
O B_business_type O O O O	nearest restaurants available at this time
O O O O O O O	can you tell me about the traffic
O O O O O B_place_name I_place_name I_place_name I_place_name	i want the time for another city outside us
O O	current traffic
O O O O O	change the color of lights
O O	speak loudly
O O O O O O O	tell me what is in your list
O O O O O O O O O	sorry but that 's not the correct response .
O O O O O	would you stop please .
O O O O O O O O O	s2 , i did n't quite catch that .
O O	mute sound
O O B_weather_descriptor O	what a sunny day
O O O B_transport_type O O O O B_transport_type O B_place_name	fetch me two train tickets for the earliest train to paris
O O O O O	i do not care .
O O O O O	retrieve the light for me
